text_id,source_type,model_family,model_id,paragraph_id,sentence_id,sentence_text
HUMAN_BASELINE_001,human,NA,NA,P04,P04_S03,Laut einem Bericht der Firma Dell Technologies sind 85% der Arbeitsplätze im Jahr 2030 bisher noch nicht einmal erfunden.
HUMAN_BASELINE_001,human,NA,NA,P04,P04_S04,"Wahrscheinlich wird sich die Art der Arbeit verändern, was neue, speziell menschliche Qualitäten erforderlich macht."
HUMAN_BASELINE_001,human,NA,NA,P04,P04_S05,"Zu den Fähigkeiten, um die es in Zukunft verstärkt gehen wird, gehören beispielsweise soziale und emotionale Intelligenz, Empathie, kritisches Denken und Improvisationsvermögen."
HUMAN_BASELINE_001,human,NA,NA,P05,P05_S01,"Natürlich bringt eine solche Entwicklung nicht nur Möglichkeiten, sondern auch Risiken mit sich, weil die Arbeit und die Fähigkeiten neu bewertet und organisiert werden."
HUMAN_BASELINE_001,human,NA,NA,P05,P05_S02,"Was Maschinen leisten können, ist zumindest bisher klar begrenzt."
HUMAN_BASELINE_001,human,NA,NA,P05,P05_S03,"Dies gilt insbesondere für bestimmte Tätigkeiten, bei denen abstraktes problemlösendes Denken erforderlich ist."
HUMAN_BASELINE_001,human,NA,NA,P05,P05_S04,"Auf der anderen Seite werden wir wahrscheinlich in Zukunft seltener mit einfachen körperlichen oder wiederkehrenden Tätigkeiten beschäftigt sein, da diese viel leichter automatisiert werden können."
HUMAN_BASELINE_001,human,NA,NA,P05,P05_S05,"Obwohl es schwierig ist vorherzusagen, wie die Berufe der Zukunft aussehen werden, lässt sich doch vermuten, dass Gesundheitsberufe, IT-Berufe und technische Berufe, z.B."
HUMAN_BASELINE_001,human,NA,NA,P05,P05_S06,"im Energiesektor, sehr gefragt werden."
HUMAN_BASELINE_001,human,NA,NA,P05,P05_S07,"Bereits in den letzten zwei Jahrhunderten sind zwar immer wieder Arbeitsplätze verschwunden, die Arbeit an sich existiert aber weiter."
HUMAN_BASELINE_001,human,NA,NA,P05,P05_S08,So wird wohl auch in Zukunft der Erfolg im Beruf stark von der Bereitschaft zu Veränderung und Anpassung abhängen.
HUMAN_BASELINE_001,human,NA,NA,P05,P05_S09,"Kreativität, Einfühlungsvermögen, Sozialkompetenz und Erfindergeist sind etwas, womit auch weiterhin gute Perspektiven geschaffen werden."
