text_id,model,paragraph_id,sentence_id,segment_order,connector_type,terms,n_connectors,segment_id,valid_vector,next_sentence_id,next_segment_id,normalized_position,transition_id,cc_score,human_transition_id,human_position,human_score,position_gap,human_centered_difference,human_centered_abs_difference
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,7,6,SCONJ,dass,1,BASIC_CHATGPT_NATIVE_001_7_SCONJ,TRUE,8,BASIC_CHATGPT_NATIVE_001_8_SCONJ,0.23809523809523808,BASIC_CHATGPT_NATIVE_001_7_8_SCONJ,-0.0015557478076254593,HUMAN_BASELINE_001_16_17_SCONJ,0.5,0.49035939249901644,0.2619047619047619,-0.4919151403066419,0.4919151403066419
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,8,7,SCONJ,während,1,BASIC_CHATGPT_NATIVE_001_8_SCONJ,TRUE,10,BASIC_CHATGPT_NATIVE_001_10_SCONJ,0.2857142857142857,BASIC_CHATGPT_NATIVE_001_8_10_SCONJ,-0.001555747807625442,HUMAN_BASELINE_001_16_17_SCONJ,0.5,0.49035939249901644,0.2142857142857143,-0.4919151403066419,0.4919151403066419
BASIC_CLAUDE_NATIVE_001,claude_native,BASIC_CLAUDE_NATIVE_001_P02,12,10,CCONJ,als,1,BASIC_CLAUDE_NATIVE_001_12_CCONJ,TRUE,13,BASIC_CLAUDE_NATIVE_001_13_CCONJ,0.4090909090909091,BASIC_CLAUDE_NATIVE_001_12_13_CCONJ,1.0000000000000002,HUMAN_BASELINE_001_14_15_CCONJ,0.43333333333333335,0.9999999999999996,0.024242424242424232,6.661338147750939e-16,6.661338147750939e-16
BASIC_CLAUDE_NATIVE_001,claude_native,BASIC_CLAUDE_NATIVE_001_P03,19,17,CCONJ,und und,2,BASIC_CLAUDE_NATIVE_001_19_CCONJ,TRUE,20,BASIC_CLAUDE_NATIVE_001_20_CCONJ,0.7272727272727273,BASIC_CLAUDE_NATIVE_001_19_20_CCONJ,-0.0967579013954894,HUMAN_BASELINE_001_24_25_CCONJ,0.7666666666666667,0.049795893630225824,0.039393939393939426,-0.14655379502571522,0.14655379502571522
BASIC_CLAUDE_NATIVE_001,claude_native,BASIC_CLAUDE_NATIVE_001_P03,20,18,CCONJ,doch und,2,BASIC_CLAUDE_NATIVE_001_20_CCONJ,TRUE,21,BASIC_CLAUDE_NATIVE_001_21_CCONJ,0.7727272727272727,BASIC_CLAUDE_NATIVE_001_20_21_CCONJ,-0.09675790139548938,HUMAN_BASELINE_001_24_25_CCONJ,0.7666666666666667,0.049795893630225824,0.006060606060605989,-0.1465537950257152,0.1465537950257152
BASIC_CLAUDE_NATIVE_001,claude_native,BASIC_CLAUDE_NATIVE_001_P03,21,19,CCONJ,und,1,BASIC_CLAUDE_NATIVE_001_21_CCONJ,TRUE,22,BASIC_CLAUDE_NATIVE_001_22_CCONJ,0.8181818181818182,BASIC_CLAUDE_NATIVE_001_21_22_CCONJ,0.4932643796374921,HUMAN_BASELINE_001_24_25_CCONJ,0.7666666666666667,0.049795893630225824,0.051515151515151514,0.4434684860072663,0.4434684860072663
BASIC_CLAUDE_NATIVE_001,claude_native,BASIC_CLAUDE_NATIVE_001_P03,24,22,CCONJ,und,1,BASIC_CLAUDE_NATIVE_001_24_CCONJ,TRUE,25,BASIC_CLAUDE_NATIVE_001_25_CCONJ,0.9545454545454546,BASIC_CLAUDE_NATIVE_001_24_25_CCONJ,0.9999999999999996,HUMAN_BASELINE_001_31_32_CCONJ,1,0.9999999999999996,0.045454545454545414,0,0
BASIC_CLAUDE_NATIVE_001,claude_native,BASIC_CLAUDE_NATIVE_001_P03,25,23,CCONJ,und,1,BASIC_CLAUDE_NATIVE_001_25_CCONJ,TRUE,26,BASIC_CLAUDE_NATIVE_001_26_CCONJ,1,BASIC_CLAUDE_NATIVE_001_25_26_CCONJ,0.9999999999999996,HUMAN_BASELINE_001_31_32_CCONJ,1,0.9999999999999996,0,0,0
BASIC_GEMINI_NATIVE_001,gemini_native,BASIC_GEMINI_NATIVE_001_P02,13,9,CCONJ,als,1,BASIC_GEMINI_NATIVE_001_13_CCONJ,TRUE,14,BASIC_GEMINI_NATIVE_001_14_CCONJ,0.32,BASIC_GEMINI_NATIVE_001_13_14_CCONJ,0.07672827274759117,HUMAN_BASELINE_001_9_10_CCONJ,0.26666666666666666,0.6680559036615702,0.053333333333333344,-0.591327630913979,0.591327630913979
BASIC_GEMINI_NATIVE_001,gemini_native,BASIC_GEMINI_NATIVE_001_P02,17,13,CCONJ,sondern,1,BASIC_GEMINI_NATIVE_001_17_CCONJ,TRUE,18,BASIC_GEMINI_NATIVE_001_18_CCONJ,0.48,BASIC_GEMINI_NATIVE_001_17_18_CCONJ,-0.09893870467565673,HUMAN_BASELINE_001_14_15_CCONJ,0.43333333333333335,0.9999999999999996,0.046666666666666634,-1.0989387046756562,1.0989387046756562
BASIC_GEMINI_NATIVE_001,gemini_native,BASIC_GEMINI_NATIVE_001_P02,18,14,CCONJ,und,1,BASIC_GEMINI_NATIVE_001_18_CCONJ,TRUE,19,BASIC_GEMINI_NATIVE_001_19_CCONJ,0.52,BASIC_GEMINI_NATIVE_001_18_19_CCONJ,0.9999999999999996,HUMAN_BASELINE_001_17_18_CCONJ,0.5333333333333333,-0.18677082094974123,0.013333333333333308,1.1867708209497407,1.1867708209497407
BASIC_GEMINI_NATIVE_001,gemini_native,BASIC_GEMINI_NATIVE_001_P03,28,22,CCONJ,oder,1,BASIC_GEMINI_NATIVE_001_28_CCONJ,TRUE,29,BASIC_GEMINI_NATIVE_001_29_CCONJ,0.84,BASIC_GEMINI_NATIVE_001_28_29_CCONJ,-0.30340412233254827,HUMAN_BASELINE_001_28_29_CCONJ,0.9,0.3038909424522511,0.06000000000000005,-0.6072950647847994,0.6072950647847994
BASIC_GEMINI_NATIVE_001,gemini_native,BASIC_GEMINI_NATIVE_001_P03,29,23,CCONJ,doch,1,BASIC_GEMINI_NATIVE_001_29_CCONJ,TRUE,30,BASIC_GEMINI_NATIVE_001_30_CCONJ,0.88,BASIC_GEMINI_NATIVE_001_29_30_CCONJ,-0.30340412233254827,HUMAN_BASELINE_001_28_29_CCONJ,0.9,0.3038909424522511,0.020000000000000018,-0.6072950647847994,0.6072950647847994
BASIC_GEMINI_NATIVE_001,gemini_native,BASIC_GEMINI_NATIVE_001_P03,30,24,CCONJ,oder,1,BASIC_GEMINI_NATIVE_001_30_CCONJ,TRUE,31,BASIC_GEMINI_NATIVE_001_31_CCONJ,0.92,BASIC_GEMINI_NATIVE_001_30_31_CCONJ,0.1011153194318274,HUMAN_BASELINE_001_28_29_CCONJ,0.9,0.3038909424522511,0.020000000000000018,-0.20277562302042373,0.20277562302042373
BASIC_GEMINI_NATIVE_001,gemini_native,BASIC_GEMINI_NATIVE_001_P01,5,3,SCONJ,dass um,2,BASIC_GEMINI_NATIVE_001_5_SCONJ,TRUE,6,BASIC_GEMINI_NATIVE_001_6_SCONJ,0.08,BASIC_GEMINI_NATIVE_001_5_6_SCONJ,0.163860999724266,HUMAN_BASELINE_001_16_17_SCONJ,0.5,0.49035939249901644,0.42,-0.32649839277475046,0.32649839277475046
